,duration,route_id,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,score_route
298,2472.471691608429,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
299,2437.8235561847687,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
300,3872.462151527405,RouteScenario_30,0,0,1,0,0,0,0,0,0,100.0
301,4183.327482461929,RouteScenario_30,0,0,3,0,1,0,0,0,0,100.0
302,4157.999643087387,RouteScenario_30,0,0,2,0,0,0,0,0,0,100.0
303,4470.147619724274,RouteScenario_30,0,0,0,0,0,0,0,0,0,100.0
304,4192.496411323547,RouteScenario_30,1,0,3,0,1,0,0,0,0,100.0
305,4317.311194181442,RouteScenario_30,0,0,0,0,0,0,0,0,0,100.0
306,4338.750748157501,RouteScenario_30,0,0,4,0,0,0,0,0,0,100.0
307,4465.382142305374,RouteScenario_30,0,0,1,0,0,0,0,0,0,100.0
308,4055.35289645195,RouteScenario_30,0,0,0,0,0,0,0,0,0,100.0
309,4369.314065217972,RouteScenario_30,0,0,1,0,0,0,0,0,0,100.0
310,4032.621081352234,RouteScenario_31,0,0,0,0,0,0,0,1,0,100.0
311,3491.7098321914673,RouteScenario_31,0,0,1,0,0,0,0,1,0,100.0
312,3449.413473367691,RouteScenario_31,0,0,0,0,0,0,0,1,0,100.0
313,3539.450597524643,RouteScenario_31,0,0,1,0,0,0,0,1,0,100.0
314,3709.9906849861145,RouteScenario_31,0,0,1,0,0,0,0,1,0,100.0
315,3519.704901456833,RouteScenario_31,0,0,0,0,0,0,0,1,0,100.0
316,3787.6388833522797,RouteScenario_31,0,0,0,0,0,0,0,1,0,100.0
317,3409.0800161361694,RouteScenario_31,0,0,0,0,0,0,0,1,0,100.0
318,3416.711373090744,RouteScenario_31,0,0,0,0,0,0,0,1,0,100.0
319,3432.9102323055267,RouteScenario_31,0,0,0,0,0,0,0,1,0,100.0
320,5805.004354000092,RouteScenario_32,0,0,5,0,2,0,0,0,0,100.0
321,6440.59349656105,RouteScenario_32,0,0,2,0,2,0,0,0,0,100.0
322,6390.801298618317,RouteScenario_32,0,0,23,0,2,0,0,0,0,100.0
323,5687.371536254883,RouteScenario_32,0,0,1,0,2,0,0,0,0,100.0
324,5727.714784622192,RouteScenario_32,0,0,1,0,2,0,0,0,0,100.0
325,5993.632801771164,RouteScenario_32,0,0,3,0,2,0,0,0,0,100.0
326,5700.48557305336,RouteScenario_32,0,0,4,0,2,0,0,0,0,100.0
327,5767.980654478073,RouteScenario_32,0,0,6,0,2,0,0,0,0,100.0
328,5834.521826505661,RouteScenario_32,0,0,5,0,2,0,0,0,0,100.0
329,5695.451062440872,RouteScenario_32,0,0,5,0,2,0,0,0,0,100.0
330,5011.420379638672,RouteScenario_33,0,1,0,0,0,0,0,0,0,100.0
331,4371.220331192017,RouteScenario_33,0,1,0,0,0,0,0,0,0,100.0
332,4816.768700361252,RouteScenario_33,0,2,3,0,0,0,0,0,0,100.0
333,4373.984427213669,RouteScenario_33,0,1,4,0,1,0,0,0,0,100.0
334,5960.836656093597,RouteScenario_33,0,1,11,0,0,0,0,0,0,100.0
335,4135.059898853302,RouteScenario_33,0,1,1,0,0,0,0,0,0,100.0
336,4327.203555107117,RouteScenario_33,0,1,1,0,0,0,0,0,0,100.0
337,4714.8093020915985,RouteScenario_33,0,2,3,0,0,0,0,0,0,100.0
338,4789.469667434692,RouteScenario_33,0,1,1,0,0,0,0,0,0,100.0
339,4544.466693639755,RouteScenario_33,0,1,1,0,0,0,0,0,0,100.0
340,1994.256046295166,RouteScenario_34,0,0,0,0,0,0,0,0,0,100.0
341,1997.1549813747406,RouteScenario_34,0,0,0,0,0,0,0,0,0,100.0
342,2198.189805984497,RouteScenario_34,0,0,0,0,0,0,0,0,0,100.0
343,1994.7623386383057,RouteScenario_34,0,0,0,0,0,0,0,0,0,100.0
